generation,best_fitness
1,0.000424497520154375
2,0.000424497520154375
3,0.000424497520154375
4,0.000424497520154375
5,0.0004252926224245133
6,0.0004254876661823435
7,0.00043067125171358263
8,0.00043723805294897464
9,0.0004454852372242376
10,0.0004454852372242376
11,0.00044593824548353107
12,0.0004459382454835312
13,0.0004459382454835312
14,0.0004459382454835312
15,0.0004466957525661913
16,0.0004565840561958568
17,0.0004565840561958568
18,0.0004565840561958569
19,0.000456584056195857
20,0.00045659139111088517
21,0.00045831026051551126
22,0.0004583102605155113
23,0.0004604068231003766
24,0.0004604068231003766
25,0.0004604068231003766
26,0.0004604068231003768
27,0.0004604068231003768
28,0.00046361931368390526
29,0.00046361931368390526
30,0.00046361931368390526
31,0.00046361931368390526
32,0.00046361931368390526
33,0.00046361931368390526
34,0.0004666311935183835
35,0.0004666311935183835
36,0.0004666311935183835
37,0.0004666311935183835
38,0.0004666311935183835
39,0.0004666311935183835
40,0.0004666311935183835
41,0.0004666311935183835
42,0.0004666311935183835
43,0.0004666311935183835
44,0.0004666311935183835
45,0.0004666311935183835
46,0.0004666311935183835
47,0.0004666311935183835
48,0.0004666311935183835
49,0.0004666311935183835
50,0.0004666311935183835
51,0.0004666311935183835
52,0.00046670562241205965
53,0.00046670562241205965
54,0.00046670562241205965
55,0.00046670562241205965
56,0.00046670562241205965
57,0.00046670562241205965
58,0.00046670562241205976
59,0.00046670562241205976
60,0.00046670562241205976
61,0.00046670562241205976
62,0.00046670562241205976
63,0.00046670562241205976
64,0.00046670562241205976
65,0.00046670562241205976
66,0.00046670562241205976
67,0.00046670562241205976
68,0.00046670562241205976
69,0.00046670562241205976
70,0.00046670562241205976
71,0.00046670562241205976
72,0.00046670562241205976
73,0.00046670562241205976
74,0.00046670562241205976
75,0.00046670562241205976
76,0.00046670562241205976
77,0.00046670562241205976
78,0.00046670562241205976
79,0.00046670562241205976
80,0.00046670562241205976
81,0.00046670562241205976
82,0.00046670562241205976
83,0.00046670562241205976
84,0.00046670562241205976
85,0.00046670562241205976
86,0.00046670562241205976
87,0.00046670562241205976
88,0.00046670562241205976
89,0.00046670562241205976
90,0.00046670562241205976
91,0.00046670562241205976
92,0.00046670562241205976
93,0.00046670562241205976
94,0.00046670562241205976
95,0.00046670562241205976
96,0.00046670562241205976
97,0.00046670562241205976
98,0.00046670562241205976
99,0.00046670562241205976
100,0.00046670562241205976
101,0.00046670562241205976
102,0.00046670562241205976
103,0.00046670562241205976
104,0.00046670562241205976
105,0.00046670562241205976
106,0.00046670562241205976
107,0.00046670562241205976
108,0.00046670562241205976
109,0.00046670562241205976
110,0.00046670562241205976
111,0.00046670562241205976
112,0.00046670562241205976
113,0.00046670562241205976
114,0.00046670562241205976
115,0.00046670562241205976
116,0.00046670562241205976
117,0.00046670562241205976
118,0.00047039583123388063
119,0.00047039583123388063
120,0.00047039583123388063
121,0.00047039583123388063
